A00001,5.2,Центральный,2023-10-01 10:15:00
A00002,7.8,Центральный,2023-10-01 10:40:00
A00003,4.1,Южный,2023-10-01 12:15:00
A00004,2.3,Южный,2023-10-01 12:30:00
A00005,6.7,Восточный,2023-10-01 18:25:00
A00006,8.0,Центральный,2023-10-01 09:30:00
A00007,3.9,Северный,2023-10-02 10:10:00
A00008,5.5,Южный,2023-10-02 12:00:00
A00009,2.8,Западный,2023-10-02 15:40:00
A00010,4.3,Западный,2023-10-02 16:00:00
A00011,6.1,Центральный,2023-10-03 09:45:00
A00012,9.2,Северный,2023-10-03 11:35:00
A00013,7.4,Южный,2023-10-03 13:10:00
A00014,3.2,Западный,2023-10-03 16:20:00
A00015,5.0,Восточный,2023-10-03 18:10:00
A00016,4.6,Центральный,2023-10-04 09:15:00
A00017,7.9,Северный,2023-10-04 11:10:00
A00018,6.4,Южный,2023-10-04 13:00:00
A00019,8.3,Западный,2023-10-04 15:30:00
A00020,2.9,Восточный,2023-10-04 17:15:00
A00021,4.8,Центральный,2023-10-05 10:05:00
A00022,5.7,Северный,2023-10-05 12:25:00
A00023,9.0,Южный,2023-10-05 14:00:00
A00024,3.5,Западный,2023-10-05 14:25:00
A00025,7.1,Восточный,2023-10-05 19:05:00
A00026,6.2,Центральный,2023-10-06 09:00:00
A00027,8.9,Северный,2023-10-06 11:20:00
A00028,5.4,Южный,2023-10-06 13:40:00
A00029,2.7,Западный,2023-10-06 15:50:00
A00030,6.5,Восточный,2023-10-06 17:30:00
A00031,7.3,Центральный,2023-10-07 10:35:00
A00032,9.1,Северный,2023-10-07 12:15:00
A00033,4.9,Южный,2023-10-07 14:10:00
A00034,3.1,Западный,2023-10-07 14:30:00
A00035,8.7,Восточный,2023-10-07 18:30:00
A00036,5.3,Центральный,2023-10-08 09:55:00
A00037,7.0,Северный,2023-10-08 11:45:00
A00038,6.8,Южный,2023-10-08 13:25:00
A00039,2.6,Западный,2023-10-08 15:35:00
A00040,9.3,Восточный,2023-10-08 17:45:00
A00041,4.4,Центральный,2023-10-09 10:20:00
A00042,6.9,Северный,2023-10-09 12:10:00
A00043,8.6,Южный,2023-10-09 14:30:00
A00044,3.7,Западный,2023-10-09 16:40:00
A00045,5.9,Восточный,2023-10-09 18:50:00
A00046,7.6,Центральный,2023-10-10 09:10:00
A00047,6.0,Северный,2023-10-10 11:00:00
A00048,8.2,Южный,2023-10-10 13:15:00
A00049,5.1,Западный,2023-10-10 15:25:00
A00050,7.7,Восточный,2023-10-10 17:35:00
